name,area,category,rating,reviews,price_text,price_min,price_max,address,distance_m,hours,website,matched_osm,source_maps
Chowpati Indian Street Food,อโศก,อินเดีย,4.6,2379,฿200-400,200,400,"12/499 G Floor, 15 Sukhumvit Residences, ซ. สุขุมวิท 13",577,ปิดเวลา 23:00,,False,https://www.google.com/maps/place/Chowpati+Indian+Street+Food/data=!4m7!3m6!1s0x30e29f8fa2d80583:0x5367888745723c68!8m2!3d13.7419567!4d100.5577534!16s%2Fg%2F11flbfyp56!19sChIJgwXYoo-f4jARaDxyRYeIZ1M?authuser=0&hl=th&rclk=1
Elbasha Turkish & Lebanese Restaurant in Bangkok,อโศก,เลบานอน,4.7,2356,฿200-600,200,600,"25, 4 ซ. สุขุมวิท 16",551,ปิดเวลา 03:00,,False,https://www.google.com/maps/place/Elbasha+Turkish+%26+Lebanese+Restaurant+in+Bangkok/data=!4m7!3m6!1s0x30e29f33d335e2d3:0x5c46912c3091c457!8m2!3d13.7324393!4d100.5610964!16s%2Fg%2F11l2kzk91v!19sChIJ0-I10zOf4jARV8SRMCyRRlw?authuser=0&hl=th&rclk=1
Kinnaree by Vanessa WU (Sukhumvit 8),อโศก,ไทย,4.7,2316,"฿400-1,400",400,1400,43 ซ. สุขุมวิท 8,407,ปิดเวลา 23:00,,False,https://www.google.com/maps/place/Kinnaree+by+Vanessa+WU+%28Sukhumvit+8%29/data=!4m7!3m6!1s0x30e29ee139290fc5:0xdbc8163c5ffe4628!8m2!3d13.7380768!4d100.5564138!16s%2Fg%2F1tdmgy0b!19sChIJxQ8pOeGe4jARKEb-XzwWyNs?authuser=0&hl=th&rclk=1
Madam Saranair Thai Food Restaurant,อโศก,ไทย,4.5,2189,"฿200-1,000",200,1000,139/1 Soi Sukhumvit 21 (Asoke Soi 1,365,ปิดเวลา 23:00,,True,https://www.google.com/maps/place/Madam+Saranair+Thai+Food+Restaurant/data=!4m7!3m6!1s0x30e29ee4947bb5d5:0xd5c8caa52002fc65!8m2!3d13.7402563!4d100.5615624!16s%2Fg%2F11btwrcbm6!19sChIJ1bV7lOSe4jARZfwCIKXKyNU?authuser=0&hl=th&rclk=1
Breakfast Story Asok,อโศก,ร้านอาหาร,4.7,2189,฿200-400,200,400,392 9 ถ. สุขุมวิท,502,ปิดเวลา 23:00,,True,https://www.google.com/maps/place/Breakfast+Story+Asok/data=!4m7!3m6!1s0x30e29fd866010d33:0x9cb6eef5eb436846!8m2!3d13.7344789!4d100.563729!16s%2Fg%2F11mtfj6rj0!19sChIJMw0BZtif4jARRmhD6_Xutpw?authuser=0&hl=th&rclk=1
Have a Zeed - Terminal 21 Asoke,อโศก,ไทย,4.1,1964,"฿200-1,000",200,1000,"4th floor ,88",67,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/Have+a+Zeed+-+Terminal+21+Asoke/data=!4m7!3m6!1s0x30e29ee3a05de9f5:0x70f43f0952aa9830!8m2!3d13.7377055!4d100.5605626!16s%2Fg%2F11r8c3c5l!19sChIJ9eldoOOe4jARMJiqUgk_9HA?authuser=0&hl=th&rclk=1
เบลล่า นาโปลี,อโศก,อิตาลี,4.4,1821,"฿400-1,200",400,1200,,749,ปิดเวลา 23:00,,False,https://www.google.com/maps/place/%E0%B9%80%E0%B8%9A%E0%B8%A5%E0%B8%A5%E0%B9%88%E0%B8%B2+%E0%B8%99%E0%B8%B2%E0%B9%82%E0%B8%9B%E0%B8%A5%E0%B8%B5/data=!4m7!3m6!1s0x30e29efd9e3f0c89:0xcf3c2a931df7552b!8m2!3d13.7341926!4d100.5662573!16s%2Fg%2F1td4rqy2!19sChIJiQw_nv2e4jARK1X3HZMqPM8?authuser=0&hl=th&rclk=1
ดูเร,อโศก,บาร์บีคิวเกาหลี,4.6,1773,"฿400-1,400",400,1400,212 15 ถ. สุขุมวิท,258,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/%E0%B8%94%E0%B8%B9%E0%B9%80%E0%B8%A3/data=!4m7!3m6!1s0x30e29ee393ade8b7:0x58ce49a06da0b9fb!8m2!3d13.738284!4d100.5579359!16s%2Fg%2F1tf6p77m!19sChIJt-itk-Oe4jAR-7mgbaBJzlg?authuser=0&hl=th&rclk=1
Dough Bros. Pizza & Doughnuts (Interchange 21 - Asok),อโศก,พิซซ่า,4.8,1743,฿200-600,200,600,Interchange 21 Room 104 G. Floor 399 Sukhumvit Rd. Khlong Toei Neua,173,ปิดเวลา 02:00,,False,https://www.google.com/maps/place/Dough+Bros.+Pizza+%26+Doughnuts+%28Interchange+21+-+Asok%29/data=!4m7!3m6!1s0x30e29f006fc510d9:0xd0696a97e71eef50!8m2!3d13.7367616!4d100.5616063!16s%2Fg%2F11y8my_2cc!19sChIJ2RDFbwCf4jARUO8e55dqadA?authuser=0&hl=th&rclk=1
Axis & Spin (Sky Lounge & Bar),อโศก,บาร์,4.8,1723,"฿200-1,400",200,1400,38th Floor 413 ถ. สุขุมวิท,242,ปิดเวลา 02:00,,False,https://www.google.com/maps/place/Axis+%26+Spin+%28Sky+Lounge+%26+Bar%29/data=!4m7!3m6!1s0x30e29ee3205c0915:0x29e12b9a7c9fb8c!8m2!3d13.7361149!4d100.5619832!16s%2Fg%2F11b8c3tfdl!19sChIJFQlcIOOe4jARjPvJp7kSngI?authuser=0&hl=th&rclk=1
เคนชิน อิซากายะ สาขาอโศก,อโศก,อิซาคายะ,4.3,1693,฿400-600,400,600,155 ถนน อโศกมนตรี,404,ปิดเวลา 00:00,,False,https://www.google.com/maps/place/%E0%B9%80%E0%B8%84%E0%B8%99%E0%B8%8A%E0%B8%B4%E0%B8%99+%E0%B8%AD%E0%B8%B4%E0%B8%8B%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A2%E0%B8%B0+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81/data=!4m7!3m6!1s0x30e29ee4eb3db945:0x134d332cbb34a1fd!8m2!3d13.7405334!4d100.5618025!16s%2Fg%2F11dxrz78db!19sChIJRbk96-Se4jAR_aE0uywzTRM?authuser=0&hl=th&rclk=1
เคบีบีคิว สุขุมวิท,อโศก,บาร์บีคิว,4.7,1665,฿400-600,400,600,เรสซิเดนเซส ชั้น 2 ถ. 12/497 อาคาร 15 สุขุมวิท ซ. สุขุมวิท 13,562,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/%E0%B9%80%E0%B8%84%E0%B8%9A%E0%B8%B5%E0%B8%9A%E0%B8%B5%E0%B8%84%E0%B8%B4%E0%B8%A7+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97/data=!4m7!3m6!1s0x30e29ff44507296f:0x5374596e2a58629f!8m2!3d13.7420055!4d100.5581905!16s%2Fg%2F11gy453s3f!19sChIJbykHRfSf4jARn2JYKm5ZdFM?authuser=0&hl=th&rclk=1
ปิง หูฉลาม อโศก,อโศก,จีน,4.6,1587,"฿1,000+",1000,,137/3 ซอย สุขุมวิท 21,378,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/%E0%B8%9B%E0%B8%B4%E0%B8%87+%E0%B8%AB%E0%B8%B9%E0%B8%89%E0%B8%A5%E0%B8%B2%E0%B8%A1+%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81/data=!4m7!3m6!1s0x30e29f019c10f49d:0xbe47d9f9373a4690!8m2!3d13.7403107!4d100.5617291!16s%2Fg%2F1tz73d_m!19sChIJnfQQnAGf4jARkEY6N_nZR74?authuser=0&hl=th&rclk=1
ครัวปัณฑารีย์,อโศก,ไทย,4.4,1572,฿1-200,1,200,9 ซ. สุขุมวิท 8,475,Mo-Sa 10:00-22:00; Su off,,True,https://www.google.com/maps/place/%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9B%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C/data=!4m7!3m6!1s0x30e29ee6ca79496d:0xcea735fe8ab6038d!8m2!3d13.7394776!4d100.5563134!16s%2Fg%2F1yg6c_mfq!19sChIJbUl5yuae4jARjQO2iv41p84?authuser=0&hl=th&rclk=1
ASOK PETHOUSE CAT CAFE,อโศก,คาเฟ่แมว,4.7,1533,฿฿,,,"2FL, อาคารพี.เอส.ทาวเวอร์ 36/18 ซอย สุขุมวิท 21",463,เปิดวัน อังคาร เวลา 08:00,,False,https://www.google.com/maps/place/ASOK+PETHOUSE+CAT+CAFE/data=!4m7!3m6!1s0x30e29ff001d8e70f:0x8e02da8f4a9ff335!8m2!3d13.7409593!4d100.5621454!16s%2Fg%2F11trhx2zk3!19sChIJD-fYAfCf4jARNfOfSo_aAo4?authuser=0&hl=th&rclk=1
Belga Rooftop Bar & Brasserie,อโศก,เบลเยียม,4.6,1513,"฿1,000+",1000,,189 ถ. สุขุมวิท,333,ปิดเวลา 01:00,,False,https://www.google.com/maps/place/Belga+Rooftop+Bar+%26+Brasserie/data=!4m7!3m6!1s0x30e29f9da3ab34eb:0xf58ee3d66b6556c7!8m2!3d13.739263!4d100.5577752!16s%2Fg%2F11fj3mpmcm!19sChIJ6zSro52f4jARx1Zla9bjjvU?authuser=0&hl=th&rclk=1
บ้านขนิษฐา ไทย คิวซีน สุขุมวิท 23,อโศก,ไทย,4.3,1482,"฿1,000+",1000,,14 ซ. สุขุมวิท 23,339,ปิดเวลา 23:00,,False,https://www.google.com/maps/place/%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%82%E0%B8%99%E0%B8%B4%E0%B8%A9%E0%B8%90%E0%B8%B2+%E0%B9%84%E0%B8%97%E0%B8%A2+%E0%B8%84%E0%B8%B4%E0%B8%A7%E0%B8%8B%E0%B8%B5%E0%B8%99+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97+23/data=!4m7!3m6!1s0x30e29ee4b81dcdab:0xd969b1cff9f824d7!8m2!3d13.7378586!4d100.5631839!16s%2Fg%2F1tkngxg_!19sChIJq80duOSe4jAR1yT4-c-xadk?authuser=0&hl=th&rclk=1
Bully's Bangkok,อโศก,อเมริกัน,4.1,1407,"฿200-1,200",200,1200,8 ถ. สุขุมวิท,978,ปิดเวลา 01:00,,False,https://www.google.com/maps/place/Bully%27s+Bangkok/data=!4m7!3m6!1s0x30e29ee779289209:0x7afbeb7693b4b539!8m2!3d13.7420224!4d100.552458!16s%2Fg%2F1tf4bgtd!19sChIJCZIoeeee4jARObW0k3br-3o?authuser=0&hl=th&rclk=1
Mr.Bao MALATANG @Asoke มิสเตอร์เป้า หมาล่าทั่ง 麻辣烫 麻辣香锅,อโศก,อาหารจานด่วน,4.9,1323,฿200-400,200,400,ชั้นที่ G อาคารพี เอส ทาวเวอร์ 36/11 ถนนสุขุมวิท 21 (อโศก,489,ปิดเวลา 21:30,,False,https://www.google.com/maps/place/Mr.Bao+MALATANG+@Asoke+%E0%B8%A1%E0%B8%B4%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%9B%E0%B9%89%E0%B8%B2+%E0%B8%AB%E0%B8%A1%E0%B8%B2%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%87+%E9%BA%BB%E8%BE%A3%E7%83%AB+%E9%BA%BB%E8%BE%A3%E9%A6%99%E9%94%85/data=!4m7!3m6!1s0x30e29f9d25b98fe3:0x5d71ab05dedeaf62!8m2!3d13.741231!4d100.562129!16s%2Fg%2F11yls7bp67!19sChIJ44-5JZ2f4jARYq_e3gWrcV0?authuser=0&hl=th&rclk=1
Shakariki 432 ASOKE,อโศก,อิซาคายะ,4.5,1260,"฿200-1,400",200,1400,อาคารพี เอส ทาวเวอร์ 36/1-2 ซอย สุขุมวิท 21,495,ปิดเวลา 04:00,,False,https://www.google.com/maps/place/Shakariki+432+ASOKE/data=!4m7!3m6!1s0x30e29ee4dc1e3361:0xc7483b0cbc64640c!8m2!3d13.7412557!4d100.5621977!16s%2Fg%2F124t2h405!19sChIJYTMe3OSe4jARDGRkvAw7SMc?authuser=0&hl=th&rclk=1
Hachicken Ramen (Terminal21 Asok),อโศก,ราเม็ง,4.7,1202,฿1-200,1,200,"Unit 4022A, 4th floor, 88 ซอย สุขุมวิท 19",134,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/Hachicken+Ramen+%28Terminal21+Asok%29/data=!4m7!3m6!1s0x30e29f6e82b95c65:0x7d5bb292b000d264!8m2!3d13.7384815!4d100.5603451!16s%2Fg%2F11v0mygf8l!19sChIJZVy5gm6f4jARZNIAsJKyW30?authuser=0&hl=th&rclk=1
โรซาโน อิตาเลียน คูซีน,อโศก,อิตาลี,4.5,1137,"฿1,000+",1000,,"167 Sukhumvit Soi 21, ถนน อโศกมนตรี",571,ปิดเวลา 23:00,,False,https://www.google.com/maps/place/%E0%B9%82%E0%B8%A3%E0%B8%8B%E0%B8%B2%E0%B9%82%E0%B8%99+%E0%B8%AD%E0%B8%B4%E0%B8%95%E0%B8%B2%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%99+%E0%B8%84%E0%B8%B9%E0%B8%8B%E0%B8%B5%E0%B8%99/data=!4m7!3m6!1s0x30e29ee36451ee81:0xb029af31de1966cd!8m2!3d13.7422328!4d100.5615625!16s%2Fg%2F1tf139x_!19sChIJge5RZOOe4jARzWYZ3jGvKbA?authuser=0&hl=th&rclk=1
